animalpreyson_inv_1,animalpreyson_inv_2
1066,1067
107,1088
824,1471
1066,1612
1641,1642
1911,824
108,1927
1976,1977
1997,784
2824,2825
1451,1066
1066,2900
3158,3159
824,3165
824,1069
3634,108
824,3769
27,2273
784,4441
1758,3730
824,5485
1617,3730
6492,108
2882,6759
6785,2882
7022,2825
2399,1029
7148,108
7685,824
7696,824
1610,3730
7962,1066
1111,4405
108,8505
8841,8842
824,9079
26,2328
108,1451
605,9478
606,824
824,6465
6486,824
824,6185
9887,2882
9470,10343
824,1927
1758,10854
5422,3730
824,2442
824,11270
824,283
824,1911
982,982
26,11680
8181,11842
12188,108
11951,3730
12271,824
5797,2362
11842,784
13314,2882
11629,824
8181,3462
12902,12901
3730,4694
1066,13942
27,994
1066,10959
3769,2882
3111,1066
8871,14652
7685,3730
1067,1111
284,4694
27,1066
15112,6429
15314,222
2328,217
1066,15353
15509,824
3111,1758
3486,824
284,3846
284,1067
386,5663
872,3730
605,1759
15165,15166
17185,3730
2442,824
284,17438
824,12831
15112,8505
216,824
17827,2825
7783,1160
6429,2882
824,19066
8181,19120
9079,284
12792,2825
6185,824
2362,284
1066,2906
19185,19185
5278,7961
3730,1758
107,5176
784,2999
1066,9977
824,17438
108,6216
107,20400
108,3159
20563,20564
10854,7649
824,3846
1642,2362
21229,824
1976,7669
10926,1160
2365,21280
1066,15970
824,1451
108,8008
22871,2362
27,22165
108,12391
824,9399
2328,386
2882,1067
3486,108
23968,2825
4866,4865
24140,824
11629,1066
27,18644
2882,18091
2365,18351
4306,1758
21919,824
824,1401
23571,107
1066,17904
108,5291
1578,107
6993,9887
824,1111
5176,107
1587,824
7077,217
4405,2999
824,26134
108,11629
824,22376
784,783
824,1758
3730,18735
107,1578
11748,824
3730,1642
824,11680
6853,1617
983,284
15112,17904
3111,824
1300,1029
107,2362
1067,386
1976,996
1758,1759
4237,824
871,824
1610,1066
1976,386
284,2328
2882,107
824,28566
28584,824
28073,824
871,1066
2478,7988
8181,17740
784,3462
8008,1160
824,29913
4275,284
3730,3462
1616,1111
789,824
3730,5278
605,4306
781,782
824,6746
11543,824
26887,107
1976,31168
8008,784
31259,824
824,2677
3769,26
1111,13077
6429,108
2362,4694
31976,2825
9922,32013
284,9079
3730,1759
32295,8181
6080,824
824,11748
1759,28
3730,1612
26,4543
1066,2328
32626,2399
15112,12188
107,4543
26,933
33152,824
2882,4275
6785,824
283,1759
996,996
958,1160
2365,4306
23900,7962
5485,824
3730,12505
5738,12979
2365,16258
2882,7768
2882,6465
824,8505
3730,11951
1358,217
8181,140
11680,2882
12441,16644
1066,1616
2677,1066
982,784
2999,4694
2882,3486
35506,3486
6080,5176
6492,824
2328,108
824,35680
5525,2774
35894,284
1616,824
107,8842
3730,5176
14227,7988
5176,2362
5278,2362
35981,2415
36355,3730
3111,9922
2882,5797
284,1758
10764,824
5176,1111
4709,1066
1066,7685
35894,824
824,1067
16105,824
1069,284
2361,5278
2361,2362
2999,2999
27,20899
21852,982
2362,17185
6853,1066
982,32853
6993,5738
2361,3730
38356,26
12505,3730
4829,784
108,27
784,7077
824,3730
1358,37541
2362,872
2882,3769
784,27
1066,29988
7077,982
2365,1068
2362,107
784,14229
825,824
12391,824
871,17827
3730,7988
1066,4866
3730,284
2825,5563
9470,9469
4405,8676
824,20119
958,2882
824,40177
1358,7077
22871,3730
3730,108
824,40401
1066,16867
784,23837
784,1997
26,784
9478,605
6993,824
16771,824
784,32497
27704,824
23900,1066
6429,5176
15280,824
10854,16105
982,2999
22871,824
108,6810
21852,8181
2362,1911
1734,107
4405,2882
871,217
6387,2362
1066,2362
959,27
11457,3769
19066,10764
4016,2882
284,6810
14227,284
26744,824
1067,2999
7768,107
15455,108
6853,284
7077,1336
38777,824
15166,16146
3730,11421
2365,22636
3730,7685
2882,13314
14227,824
4016,824
16146,15166
15236,284
824,31259
824,37440
11421,3730
784,2400
6216,284
15414,2415
27,19577
9922,5176
1088,107
108,2362
9470,44568
108,44059
824,11629
8408,824
4016,1759
283,386
2399,20035
15112,2677
824,6492
15970,824
4865,4866
284,12391
1067,26
15112,1451
16771,284
2328,26
1217,824
107,108
108,1067
1066,4694
15970,284
42604,1067
386,1927
10926,15483
108,3634
1358,872
14169,824
7685,5278
1066,6810
1066,27509
6746,824
21291,386
824,13314
108,108
871,7988
6759,2882
5797,824
2825,47138
31527,5290
1616,108
6810,5561
2328,1066
6853,824
26,27
36327,784
7077,7077
12901,784
824,4866
5738,871
108,3730
3730,1610
3730,24096
32036,824
6429,1066
784,15870
4405,1111
958,784
824,33152
824,6387
24862,6429
1927,386
1612,3730
2882,14169
4306,5797
824,872
2882,2999
17904,824
1067,5738
784,886
107,14943
2882,4865
107,10432
9399,2362
11815,14251
5291,8181
824,4651
824,10425
108,12188
27,27
784,41121
3730,1911
49882,824
107,2361
30489,824
4306,605
37246,2415
1217,108
10432,107
6080,1617
284,871
30121,784
3111,14227
7962,824
40336,2415
50267,824
284,1069
824,44206
15112,108
27,9101
25897,2362
283,284
6810,3730
1066,108
7962,108
19431,2399
2362,5176
29913,824
20564,8181
108,11815
12363,2900
5561,6810
1976,784
1066,2442
2882,27
1911,3730
283,108
3730,872
3730,5563
605,2882
3730,1617
784,8842
982,21852
824,28
2825,35408
8676,1067
28251,784
605,10854
1401,824
1041,2900
9399,3730
1111,3111
108,283
2478,824
1066,6429
15509,107
2328,3111
284,283
2882,11680
824,1759
8181,19185
4866,824
1617,2906
107,17438
29472,824
824,7696
1358,16644
53283,2882
2328,2328
1066,3730
3165,824
824,1610
140,11815
2362,1612
108,107
108,958
1451,824
6465,2882
824,7962
2362,6387
107,25264
824,15353
2365,108
4016,20059
10918,2825
824,7649
824,7802
789,217
15236,824
2400,784
1066,6387
2882,9079
783,784
824,4275
38412,824
1758,32802
15112,8181
55301,108
28571,824
108,2365
4694,824
824,983
7962,284
17904,1066
2362,4865
37440,824
7768,108
824,45304
2415,2414
1927,108
35408,2825
1111,871
1927,824
31765,824
3730,824
9922,3111
871,108
3486,2882
3730,5422
20188,2825
1066,2677
2362,2906
10854,1069
4865,2362
824,14227
17740,8181
107,3769
8181,11815
1066,11084
2512,2511
145,824
108,17740
1066,7962
9079,32057
2882,605
1066,46163
2882,8548
10265,3159
871,26441
9922,108
37057,42639
2362,1759
3730,11084
19185,8181
26,52521
20035,2399
2361,11421
24125,824
27,20723
50301,2361
824,9887
1759,824
2882,1069
9399,2328
1217,7988
824,12181
982,14532
27072,45282
2362,1610
13077,824
15970,2882
7768,824
605,824
1111,38966
824,12623
17975,3111
2442,5176
8841,4441
16105,10854
2825,7417
11270,824
19066,107
824,12363
13077,386
2825,8181
1758,4306
3730,2900
59204,386
5563,1610
2900,2900
52913,958
6080,1066
1111,284
1358,6735
40177,824
28,284
8505,824
2512,17438
1610,2362
15175,824
12188,824
1617,2362
108,4275
10425,386
28566,824
108,10959
871,1617
2882,824
784,2998
11629,108
5176,6429
26606,107
15870,982
4709,7962
1758,284
6128,6127
21852,784
2882,3730
11815,8181
1217,2900
824,5561
3730,107
22267,2825
10926,108
824,18044
5561,824
1578,824
2362,7649
46372,107
1758,824
1067,824
20564,32249
12877,108
60849,824
5659,824
1111,1617
2825,6958
2362,4306
1066,5176
983,108
1066,4709
824,6785
789,284
222,15314
824,2478
5797,1066
983,5738
35704,108
108,55301
38966,1111
61817,2825
872,2362
7148,824
8917,1069
38344,2825
1997,982
27579,824
6080,284
2365,13382
6216,108
14227,4306
107,283
284,1927
2361,1642
7649,2882
2362,3730
1066,6853
8181,32295
824,10959
107,933
2415,51463
44059,108
7962,23900
4237,107
108,1758
2999,4613
11815,386
9350,27
28,108
871,5738
2882,1758
1976,2916
1111,386
6853,108
6810,1066
107,8181
11084,5278
1066,5797
27,30660
2415,35981
44954,824
958,27
871,872
28,2882
28,2362
17904,108
108,4613
13314,824
1066,2361
2882,15175
25979,108
9079,1759
1358,108
32249,2361
1067,5176
824,11612
284,108
19185,2825
2882,16105
4237,10764
824,4613
20564,20563
27,10058
107,6492
10764,107
824,34794
6216,1088
2362,1642
8871,784
5176,10959
6429,824
784,30121
5176,3730
2825,19185
824,11916
1040,824
824,6429
4441,784
1758,108
9079,3730
29843,824
784,43864
27,18653
824,825
9399,824
27,8737
6387,824
46012,2825
824,16922
7685,1066
3710,824
5797,23900
824,11543
44479,27
14532,5738
2999,27
11680,108
6853,5738
824,24125
2882,28
11270,21244
5278,32977
1067,8676
1354,2825
42639,37057
14943,3769
982,36327
386,1111
4694,1088
2365,5570
2362,108
10918,108
8732,23003
17827,871
824,2642
8181,17827
33052,824
6127,2399
824,4016
3730,3730
27,30562
824,12792
15175,2882
2882,15970
26,3769
824,216
29637,824
9079,824
11916,2825
824,4709
2998,2399
27,12361
24096,3730
1759,605
824,7768
824,5797
16644,824
3159,108
8181,44936
1641,824
3730,36355
824,14169
5176,1066
3634,1111
4405,5176
108,15112
8842,784
2362,22871
5797,1759
107,2999
107,40177
1067,4694
26885,824
6127,38988
1217,11951
3730,2362
4709,108
108,1612
1616,1617
284,14227
2362,28
28584,2882
8548,2882
1111,108
14227,108
15166,15165
2882,4016
2328,284
824,30489
27,14798
22376,824
2328,6785
8731,8732
1217,6735
1642,2361
11815,42604
2900,824
4651,824
41541,107
50926,2825
824,7685
11629,5176
784,32853
605,7988
9977,1066
824,108
107,3730
4405,5738
2882,7649
68866,824
7802,3730
16070,27
1358,284
7649,824
12363,824
7962,4709
3730,32977
4275,108
2900,11916
10854,1758
2906,1617
784,958
8505,4306
1066,23900
4405,11680
824,2361
7649,2362
2442,2900
6958,2825
11842,8181
2362,30241
47138,2825
784,36327
65690,107
1111,5176
1759,7649
605,108
6853,1111
4275,824
7077,872
40717,1066
1759,3730
1217,872
108,12424
6810,872
107,26606
824,15280
16060,27
2882,9887
11629,11629
2361,824
22162,11180
27,6750
14229,784
1066,40717
44936,784
2328,824
2328,5176
2442,1041
2882,4694
108,824
2442,107
8871,26
784,30972
824,3111
8181,107
14227,3111
4543,107
3730,7802
5147,824
1358,11951
2642,824
15353,824
1066,6082
4866,1066
37441,107
3810,824
4306,28
2825,18188
4405,108
871,284
11916,2999
1067,2882
58939,5278
2906,2362
1976,2999
958,996
1642,1641
2825,18403
2415,40336
2361,32249
1927,5176
15463,824
3730,2882
52521,26
1067,14251
4694,2900
8181,2825
3111,4694
41121,784
1616,5176
12877,784
8181,8181
824,2900
824,6216
871,5176
27,21291
983,824
824,3486
108,28
3769,824
2365,3111
824,8008
1066,6080
13077,1111
284,12979
3730,4306
70825,1111
18188,2825
7077,7988
22529,27911
26,7795
283,824
7077,784
27911,22529
386,16070
1041,10764
824,17441
2273,27
61154,824
18403,2825
283,2882
9469,9470
2362,824
24136,2825
1111,1067
5278,3730
1610,5278
19066,824
2906,1066
284,2511
26,71437
2900,4694
2882,2400
40309,2825
108,15455
5278,2361
7961,824
6993,284
12831,824
4694,9478
4694,3730
12979,284
5797,3111
824,17904
2642,284
68096,2361
5485,11951
784,12901
21901,824
824,21919
2399,32626
14532,982
2361,1066
1111,5738
2882,283
1612,2362
108,1066
9922,2882
1067,1066
824,15236
958,1066
51796,824
5797,2882
784,784
824,12877
44206,2882
824,3158
7961,5278
6810,7988
784,44936
4694,2999
5176,2328
1069,824
6810,284
824,38777
386,7739
2882,14943
2361,50301
6216,824
11084,3730
1066,32617
19066,108
5949,2415
4865,824
6810,824
824,5147
17185,2362
982,8871
8871,386
2900,1066
2442,10764
52085,824
11815,72659
17975,824
1066,1610
5278,58939
11421,2361
1217,284
1111,26
35506,3159
824,2362
2442,1066
2825,36724
19066,1041
16105,2882
284,3730
11612,824
37057,108
140,8181
108,4694
2415,14949
12441,16258
2362,5797
3111,4865
12181,824
784,24136
14943,2882
28584,2362
1041,824
9229,784
2328,8676
1927,5738
1066,11194
1976,108
61751,824
8181,15112
23900,5797
2400,108
1578,2882
2362,1066
1759,5797
12405,824
784,14532
20119,824
25897,3730
7685,1612
108,7768
982,15870
12877,2999
46166,20564
8008,27
9779,2825
12901,12901
2442,108
45304,824
2415,37246
2328,22359
2882,28584
58637,2415
7649,1759
107,4694
26,7768
12877,27
5176,27
3730,1066
7988,605
10265,4275
1358,2900
11629,2882
5176,1616
872,6810
107,15236
1759,1759
958,386
108,6492
1217,1217
27509,1066
2999,784
284,605
6735,3730
27072,71651
23763,824
1759,4016
1336,2825
2999,982
1617,871
2442,872
4865,1759
30241,2362
44801,19185
1976,27
14532,784
8732,8731
824,12405
1067,42604
8181,5563
3730,2361
784,1336
3111,5797
1066,3111
15900,824
824,26216
1759,1758
8871,982
5797,284
824,16983
1927,3111
4865,4306
27,1788
284,2362
3730,6735
1066,1111
1976,1976
824,871
48975,824
107,11680
5485,16644
26216,824
5797,108
10959,824
2362,11421
5797,4306
23003,8732
10854,605
3730,22871
27,11629
386,16019
1066,11629
284,4275
11842,982
824,12391
2882,11629
19085,824
1758,2882
7136,824
1759,2362
12205,2825
958,108
784,11842
824,15970
12877,9850
824,6080
25711,108
1759,283
11194,1066
386,1067
26134,824
982,4441
784,21852
784,1354
3730,9399
1111,1066
44802,2361
4694,108
15483,8612
872,871
2415,27947
1217,217
11180,22162
10425,27
6387,1066
1612,1066
784,982
824,1616
824,6486
1976,5486
4694,284
42696,2361
2882,2362
15970,1066
2415,58637
2362,25897
284,6216
15529,2825
824,29472
4865,2882
108,2328
3730,25897
63531,19185
4694,2882
3730,20059
21919,3111
108,3769
32497,784
1111,19704
1927,284
9079,2882
12979,5738
30241,30241
1617,2328
1067,3157
30972,784
5738,2328
2365,6785
4694,1066
19185,44801
7768,2882
5738,1067
27,20704
17441,824
4709,824
1758,3111
1159,386
27,25711
2362,1617
4441,982
2882,6429
43864,784
32249,20564
5797,4866
5738,14532
1358,5176
108,605
28,4306
6759,386
7685,11084
51721,824
107,7768
2328,1617
6810,2900
2362,32802
824,4865
16983,824
107,7795
6184,824
2328,1111
200,2825
784,12205
28,1759
284,7962
2415,5949
871,11951
20059,4016
1066,27
2362,2362
2365,217
11815,2825
108,5797
824,605
15251,824
5176,871
2882,1578
789,16644
1111,68287
2361,42696
2361,44802
21852,386
982,8842
28,3111
789,11951
11815,38344
283,3111
6810,6810
824,16105
2362,2882
27,32176
10959,108
784,5291
824,15251
2362,9399
2906,824
21735,107
782,781
824,7961
2512,4275
108,35704
18091,2882
3111,28
1616,1066
15070,2882
6465,824
1610,824
3730,3111
28,824
6810,217
8008,108
3486,3486
108,5290
11421,2362
1067,284
3730,17185
26,1067
2362,2361
2415,15414
2882,6785
2882,9922
23571,824
32977,3730
7961,3730
9079,7961
7649,10854
2999,12877
6810,108
5970,5738
2825,17091
2361,2361
38356,27
8181,21852
36724,2825
2922,2922
32802,7768
44936,107
32853,784
43740,824
108,6429
1976,1029
2442,11951
216,1066
824,12188
12623,824
18044,824
2512,71090
11680,107
824,2906
4865,108
605,3111
824,36910
26,13925
8181,20564
7768,32802
1066,958
5176,1067
107,44936
6216,5738
44936,8181
32687,824
35009,5278
605,284
9977,824
108,39367
15761,2415
40957,824
6853,5176
4865,3111
1069,2882
34794,824
1927,1111
2362,28584
15112,11629
2825,10918
73737,27
824,4694
1066,871
3730,16960
9605,824
871,1111
1111,824
11815,140
5176,1927
12361,27
3111,605
108,3486
27,72585
1911,2362
1997,386
2328,5738
2362,6080
107,22359
17091,2825
1358,824
4709,4694
1067,108
1066,1451
