bakedgoodservedwithbeverage_in_1,bakedgoodservedwithbeverage_in_2
232,233
244,1544
1664,1665
232,1965
244,2074
2885,1665
232,3532
3976,3977
244,1665
1353,4434
244,4490
4731,4732
232,6314
6450,1665
7155,3977
244,7589
8469,8470
2392,10485
244,11891
2392,12240
12849,6281
232,12906
232,12922
244,13067
2392,13192
2392,13648
232,13892
232,14131
232,15187
15282,15283
3620,15710
16034,13192
3620,16206
1353,16420
16475,16476
1353,16557
232,16816
15432,8470
3620,12240
2392,17965
2392,18154
17187,18194
2392,18645
244,13192
2392,19241
232,19990
20146,8470
244,20828
15282,16476
232,21844
232,4972
7306,2074
2392,4732
1353,1665
3620,24033
232,24490
3620,18194
232,23021
232,24805
3620,12319
2392,12762
244,6364
2392,26293
1956,15710
11635,8470
232,17569
22538,22537
3620,28003
2392,23487
28113,1965
232,28261
28766,14801
28802,1665
28893,1665
3620,22537
232,29529
244,3619
24445,30043
232,30305
232,22502
17187,16476
24445,30627
2392,7100
232,30989
3620,28556
3620,31248
2392,8213
17475,6364
1353,24832
17450,1665
3620,32262
2392,32322
244,23487
16034,4732
244,28770
15432,23780
33622,8470
232,33824
2392,23780
4731,24832
2392,11891
34805,1665
232,34962
244,32262
232,35271
2392,20751
232,35592
2392,35196
2392,16476
232,35657
3620,9879
244,25028
232,35947
2392,8470
3620,7100
232,36320
2392,36648
232,35535
232,36931
3620,37802
244,35611
31172,14801
24445,16420
244,7100
3620,38585
2392,38869
4731,3977
17187,25695
1353,39152
232,39258
244,39262
15432,22537
232,39845
232,16420
232,38107
1353,40634
3620,16476
244,18264
232,41332
244,4732
232,17965
24445,24832
11635,4732
2392,18961
232,42317
232,42427
2392,3619
232,42804
2392,16557
232,15714
2392,43348
232,43462
2392,15710
244,44112
2392,24832
244,44673
232,33161
16099,1665
232,45217
3620,3619
1353,3977
45271,3977
244,12319
3620,6364
232,46143
2392,14231
244,46461
232,20642
24445,35535
24445,1665
2392,47523
232,12762
232,47797
16034,3977
2392,27706
232,43348
2392,28803
43976,15362
232,34955
15282,1665
2392,4972
232,50747
25276,3977
232,14801
232,28770
244,15710
23159,3977
232,51259
232,25028
244,47523
45127,13192
26911,1665
232,32262
232,2781
244,4434
3620,13192
232,51979
244,23780
7155,14801
17187,15283
34805,16420
232,52656
232,52666
3620,2074
25134,6281
232,53161
232,53415
11905,16476
2392,40459
24445,16557
232,53819
2392,10148
48278,1665
2392,43776
2392,45499
54434,1665
232,54491
232,54661
232,54662
3620,23780
2392,32140
232,51314
2392,55167
244,26496
232,47523
17187,1665
23159,9879
35976,1665
232,37802
3620,4972
2392,36320
24445,14801
232,27706
232,56668
2392,4849
244,47317
25134,16420
56945,3977
232,57019
16034,15710
232,57539
2392,30627
232,57900
2392,1665
1353,43354
232,50887
244,15283
232,8470
25029,54030
232,31155
3620,44112
2392,58647
3620,47317
2392,6281
2392,59129
2392,15283
8469,1665
59857,3977
25029,25028
232,56964
2392,14801
2392,18536
232,60067
232,39152
232,5523
244,26293
2392,60581
2392,60595
2392,60781
232,60825
232,60991
2392,2391
2392,4434
232,24832
232,57810
2392,12922
232,1665
8469,2074
232,62197
232,4849
232,2074
232,12240
232,39405
25134,24832
1353,62646
41806,9879
232,62715
232,44903
46832,4732
26911,25695
232,62985
2392,63114
232,52552
232,59129
232,11014
232,63731
232,18961
232,23780
232,63865
2392,25695
2392,50746
244,9879
232,64093
2392,64316
232,62646
2392,64693
13903,3977
2392,28770
232,7100
4731,14801
2392,4121
232,45764
232,32770
28893,3977
232,15283
2392,65171
232,35280
23159,24049
65543,1665
232,19055
232,6002
232,28197
2392,65735
29624,16476
244,18194
244,16206
244,61162
244,12922
232,43558
3620,52552
232,50449
232,66303
2392,54030
232,25695
232,16476
3620,13067
232,66510
232,60781
28113,15362
15282,15710
244,42317
2392,51791
232,66888
232,4732
2392,3532
232,9879
232,62395
232,67217
232,67224
2392,43462
3620,4434
232,28803
2392,55243
2392,56321
244,54030
2392,39405
232,33700
25276,1665
232,67699
232,47969
24445,6281
2392,67224
232,8329
244,22537
244,16476
232,68106
232,68170
1664,15283
38150,1665
232,3977
232,23487
232,49090
2392,14856
232,68265
2392,68274
2392,68349
232,68460
2392,40840
1353,32262
1353,4732
232,68615
232,43776
24241,8470
232,3619
32120,1665
3620,63849
7155,1665
232,37793
2392,1544
2392,2074
232,17550
34805,3977
3620,11891
232,69639
232,67125
232,4434
3620,20828
25276,35535
24445,4732
2392,7589
244,16420
232,16557
232,7589
3620,18264
24445,8213
2392,67119
232,18271
232,32445
3620,1665
232,70275
7121,8470
2392,41307
232,68961
232,20751
16034,1665
232,15362
232,18154
3620,7589
3620,14801
232,39318
43330,8470
24445,60595
232,6281
232,2391
232,63849
24445,3977
232,58567
2392,71398
232,71591
3620,16420
232,69923
24445,18961
232,69573
244,71752
232,26293
244,71867
244,67699
232,13192
232,72035
2392,47950
16034,14801
2392,56368
232,60158
232,71855
49483,24832
232,35196
232,60797
1353,14801
2392,50121
232,47995
24445,64693
2392,12784
232,72642
2392,51823
244,25695
232,53030
2392,56668
23159,15710
2392,23547
232,37420
2392,73199
1956,15714
232,60595
244,73292
26911,8470
2392,40016
34805,8470
232,57023
244,8470
2392,61683
28766,3977
28113,6281
2392,40634
3564,1665
232,54708
23159,7589
232,73582
3620,42317
232,47950
232,62504
232,73770
15282,25695
232,46175
232,68288
232,73492
2392,30043
244,62094
244,14801
244,3977
3620,10148
2392,3296
24445,15362
2392,44903
232,45134
232,26264
2392,32445
232,26496
3620,4732
2392,42317
1353,8470
232,71934
232,72580
27154,2074
2392,74389
232,25884
232,69965
232,15710
25134,1665
2392,29529
3620,43462
232,74536
74546,1665
232,13067
59857,1665
232,61110
3620,40634
232,67119
244,63634
28766,24832
40364,8470
232,69913
25276,14801
232,14231
232,74795
232,71250
232,30748
23159,8470
232,74787
232,68581
244,16557
2392,53407
244,43462
232,62262
2392,23021
232,72905
232,40840
1353,9879
232,45560
232,9751
3620,8470
2392,1965
3620,75034
232,73735
49483,1665
49483,3977
29624,23780
2392,30305
25029,3977
244,37793
232,40634
2392,60243
2392,69639
232,73393
45075,3977
232,26957
232,42196
2392,16420
244,63075
244,44903
232,64224
2392,39152
232,13521
232,21313
3620,25695
232,64693
3620,25028
2392,42427
232,18536
232,32140
232,68054
232,51791
232,62826
11906,8470
2392,68601
3620,15283
2392,72263
2392,35535
244,4972
2392,15362
232,70418
8469,22537
232,75431
3433,1665
232,72571
3620,35196
232,54496
244,15714
2392,32262
3620,64035
232,68706
2392,54356
232,45490
16959,8470
244,12240
232,31012
232,30627
2392,3977
232,17838
3620,3977
232,73649
232,40016
